id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,1,0,ComplexApp,10.0005,M.A,100,5000,0
2,LINK,1,0,ComplexApp,10.0005,M.A,200,5000,0
3,LINK,1,0,ComplexApp,10.0005,M.A,300,5000,0
4,LINK,1,0,ComplexApp,10.0005,M.A,400,5000,0
5,LINK,1,0,ComplexApp,10.0005,M.A,500,5000,0
6,LINK,1,0,ComplexApp,10.0005,M.A,600,5000,0
7,LINK,1,0,ComplexApp,10.0005,M.A,700,5000,0
8,LINK,1,0,ComplexApp,10.0005,M.A,800,5000,0
9,LINK,1,0,ComplexApp,10.0005,M.A,900,5000,0
